,mse,rmse,mae,r2,mape
gradient_boosting,6049920606.985755,77781.23557122087,55248.21671129447,0.9463397024785973,8.90235258434921
xgboost,6436631561.66362,80228.62058931102,56584.60561294929,0.9429097359995597,9.10821901657385
random_forest,7842103659.035007,88555.65289147275,64046.00066217516,0.9304437788734623,10.55063599423518
linear_lasso,48270322516.22805,219705.08077017256,171132.65694158713,0.5718621720946236,31.637865216097488
linear_ridge,48280817145.101295,219728.9629181854,171147.3230224026,0.5717690890701845,31.639902234010535
